[1, 78]
[335/228, 98]
[335/336, 99]
[337/156, 83]
[337/168, 90]
[337/180, 100]
[337/210, 77]
[337/240, 100]
[337/252, 99]
[337/300, 94]
[337/312, 99]
[337/360, 94]
[337/420, 94]
[337/440, 100]
[338/255, 85]
[339/182, 100]
[339/220, 83]
[340/231, 99]
[341/180, 85]
[341/210, 96]
[341/252, 96]
[341/360, 97]
[343/180, 94]
[343/240, 98]
[343/264, 90]
[343/340, 98]
[343/360, 95]
[343/380, 97]
[344/315, 100]
[347/210, 93]
[347/240, 88]
[347/252, 100]
[347/300, 96]
[347/315, 96]
[347/408, 91]
[347/420, 86]
[347/456, 97]
[349/140, 97]
[349/168, 95]
[349/180, 98]
[349/210, 91]
[349/280, 99]
[349/312, 86]
[349/315, 99]
[349/330, 82]
[349/420, 85]
[353/168, 96]
[353/180, 100]
[353/195, 99]
[353/210, 94]
[353/240, 100]
[353/280, 100]
[353/336, 91]
[353/372, 97]
[353/510, 95]
[354/385, 100]
[355/168, 95]
[355/252, 87]
[358/315, 98]
[359/180, 81]
[359/210, 87]
[359/280, 98]
[361/168, 93]
[361/180, 91]
[361/420, 92]
[361/462, 93]
[362/231, 97]
[362/315, 94]
[363/140, 98]
[365/168, 82]
[365/336, 100]
[367/168, 88]
[367/180, 99]
[367/210, 78]
[367/240, 89]
[367/252, 99]
[367/360, 92]
[367/420, 83]
[368/315, 98]
[369/280, 85]
[369/308, 90]
[371/180, 91]
[371/190, 100]
[371/240, 91]
[371/260, 98]
